City,Country,Cloudiness,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Saint-Pierre,RE,75,2022-04-25,72,-21.3393,55.4781,74.88,17.27
Pangai,TO,83,2022-04-25,68,-19.8,-174.35,79.52,6.02
Coyhaique,CL,100,2022-04-25,81,-45.5752,-72.0662,40.95,8.05
Sinnamary,GF,77,2022-04-25,89,5.3833,-52.95,78.13,9.33
Garmsār,IR,100,2022-04-25,23,35.2182,52.3409,74.25,6.58
Bālāghāt,IN,1,2022-04-25,24,21.8,80.1833,85.19,2.15
Wajir,KE,89,2022-04-25,74,1.7471,40.0573,78.78,9.06
Huarmey,PE,74,2022-04-25,85,-10.0681,-78.1522,68.63,7.94
Biak,ID,4,2022-04-25,68,-0.9131,122.8766,83.46,0.49
Lavrentiya,RU,51,2022-04-25,76,65.5833,-171.0,27.86,4.32
Boende,CD,100,2022-04-25,87,-0.2167,20.8667,72.64,1.36
Bud,US,100,2022-04-25,63,39.447,-86.1758,73.67,12.91
Turtas,RU,55,2022-04-25,91,58.9417,69.1325,33.51,5.48
Takhtamygda,RU,100,2022-04-25,24,54.1,123.5667,41.79,3.29
Chulym,RU,23,2022-04-25,58,55.0997,80.9572,33.8,7.45
Fortuna,US,0,2022-04-25,72,40.5982,-124.1573,59.94,12.66
Bereda,ES,99,2022-04-25,100,43.2686,-7.5406,48.58,1.19
Okhotsk,RU,25,2022-04-25,83,59.3833,143.3,31.51,12.01
Medina del Campo,ES,44,2022-04-25,86,41.3124,-4.9141,42.4,4.74
Muros,ES,98,2022-04-25,93,42.7762,-9.0603,50.85,6.55
Trincomalee,LK,64,2022-04-25,83,8.5711,81.2335,80.29,4.76
Mahébourg,MU,13,2022-04-25,72,-20.4081,57.7,75.25,16.62
Port Elizabeth,ZA,100,2022-04-25,72,-33.918,25.5701,57.31,8.01
Airai,TL,99,2022-04-25,39,-8.9266,125.4092,72.66,2.71
Örnsköldsvik,SE,100,2022-04-25,86,63.2909,18.7153,32.95,3.44
Grenå,DK,6,2022-04-25,83,56.4158,10.8783,41.95,8.16
Banda Aceh,ID,100,2022-04-25,75,5.5577,95.3222,82.09,2.53
Sangar,RU,94,2022-04-25,87,63.9242,127.4739,23.0,6.87
Acaraú,BR,100,2022-04-25,87,-2.8856,-40.12,77.29,7.65
Timbiquí,CO,100,2022-04-25,92,2.7717,-77.6654,75.63,2.06
Abu Samrah,SY,0,2022-04-25,40,35.3029,37.1841,68.76,8.41
Kununurra,AU,70,2022-04-25,42,-15.7667,128.7333,85.98,6.91
Gimli,CA,100,2022-04-25,93,50.6336,-96.9907,25.48,26.73
Byron Bay,AU,100,2022-04-25,62,-28.65,153.6167,71.94,12.66
Kastamonu Province,TR,16,2022-04-25,78,41.5,33.6667,50.07,1.21
Vila Franca do Campo,PT,38,2022-04-25,81,37.7167,-25.4333,57.61,11.41
Nantucket,US,20,2022-04-25,67,41.2835,-70.0995,46.54,0.0
Rørvik,NO,100,2022-04-25,93,64.8621,11.2373,43.05,9.57
Mount Gambier,AU,100,2022-04-25,48,-37.8333,140.7667,65.05,4.36
San Miguel de Tucumán,AR,20,2022-04-25,94,-26.8241,-65.2226,64.4,5.75
Chongoyape,PE,79,2022-04-25,76,-6.6406,-79.3892,74.14,3.22
Atherton,GB,0,2022-04-25,80,53.5237,-2.4935,45.28,7.72
Tamiahua,MX,0,2022-04-25,88,21.2667,-97.45,77.99,15.93
Tamale,GH,100,2022-04-25,62,9.4008,-0.8393,83.14,10.47
Padang,ID,100,2022-04-25,80,-0.9492,100.3543,75.25,2.57
Sittwe,MM,15,2022-04-25,79,20.15,92.9,82.72,4.12
Pangnirtung,CA,100,2022-04-25,88,66.1451,-65.7125,21.38,5.01
Ixtapa,MX,0,2022-04-25,73,20.7,-105.2,76.23,8.05
Bandarbeyla,SO,66,2022-04-25,73,9.4942,50.8122,81.23,7.07
Rock Sound,BS,13,2022-04-25,73,24.9,-76.2,75.65,22.62
Bethel,US,0,2022-04-25,61,41.3712,-73.414,50.09,4.61
Chokurdakh,RU,25,2022-04-25,91,70.6333,147.9167,8.49,3.89
Toamasina,MG,100,2022-04-25,84,-18.1667,49.3833,74.88,7.52
Hong Kong,HK,8,2022-04-25,82,22.2855,114.1577,82.96,7.0
Balkhash,KZ,100,2022-04-25,73,46.844,74.9804,38.32,17.69
Harlingen,US,20,2022-04-25,81,26.1906,-97.6961,81.05,16.11
Kaoma,ZM,99,2022-04-25,73,-14.7833,24.8,66.18,3.18
Carballo,ES,84,2022-04-25,98,43.213,-8.691,51.51,4.03
Hashtrūd,IR,100,2022-04-25,61,37.4779,47.0508,53.64,3.49
Mezhova,UA,9,2022-04-25,91,48.2532,36.7347,48.02,3.67
Komsomolets,KZ,100,2022-04-25,43,53.7453,62.0708,42.57,7.49
Nieuw Amsterdam,SR,100,2022-04-25,89,5.8833,-55.0833,81.01,8.68
Abhā,SA,0,2022-04-25,67,18.2164,42.5053,59.25,0.0
San Buenaventura,MX,1,2022-04-25,30,27.0833,-101.5333,92.32,14.74
Bitung,ID,33,2022-04-25,68,1.4451,125.1824,88.65,2.51
Mago,RU,100,2022-04-25,91,53.2514,140.1822,30.69,4.18
Makakilo City,US,40,2022-04-25,51,21.3469,-158.0858,82.72,20.71
Arrondissement du Havre,FR,100,2022-04-25,93,49.5833,0.3333,46.8,11.5
Dunedin,NZ,8,2022-04-25,53,-45.8742,170.5036,63.81,15.01
Coquimbo,CL,100,2022-04-25,94,-29.9533,-71.3436,56.93,1.14
Grand Baie,MU,83,2022-04-25,71,-20.0182,57.5802,75.45,8.99
Port Hardy,CA,100,2022-04-25,92,50.6996,-127.4199,45.72,11.65
Isiro,CD,100,2022-04-25,100,2.7739,27.616,67.05,1.01
Arys,KZ,0,2022-04-25,71,42.4252,68.795,50.34,4.79
Hofn,IS,99,2022-04-25,90,64.2539,-15.2082,40.91,4.81
Srandakan,ID,100,2022-04-25,81,-7.9386,110.2506,81.28,1.74
Halifax,CA,99,2022-04-25,80,44.6453,-63.5724,38.68,11.99
Sabang,ID,100,2022-04-25,75,5.8933,95.3214,83.25,4.79
Bonavista,CA,100,2022-04-25,93,48.6499,-53.1147,36.1,19.8
Dryden,CA,100,2022-04-25,100,49.7833,-92.7503,34.09,8.05
Camacha,PT,75,2022-04-25,88,33.0833,-16.3333,60.22,12.66
Beckley,US,0,2022-04-25,33,37.7782,-81.1882,73.81,6.91
Jämsä,FI,6,2022-04-25,94,61.8642,25.19,26.15,3.87
Blagoyevo,RU,56,2022-04-25,97,63.3667,47.9167,24.22,1.54
Gouyave,GD,84,2022-04-25,76,12.1646,-61.7296,78.4,17.36
Salina Cruz,MX,0,2022-04-25,68,16.1667,-95.2,83.68,10.94
Nizhnyaya Omka,RU,43,2022-04-25,58,55.4338,74.9426,34.75,6.78
Yerbogachën,RU,100,2022-04-25,74,61.2767,108.0108,29.48,7.85
Graaff-Reinet,ZA,99,2022-04-25,96,-32.2522,24.5308,46.92,4.88
Iqaluit,CA,100,2022-04-25,85,63.7506,-68.5145,20.7,13.0
Tadine,NC,100,2022-04-25,67,-21.55,167.8833,76.28,19.82
Quatre Cocos,MU,27,2022-04-25,72,-20.2078,57.7625,75.09,16.37
Karaidel',RU,100,2022-04-25,83,55.8337,56.9069,43.48,6.4
Svetlaya,RU,100,2022-04-25,47,46.5389,138.3297,47.41,3.4
Haines Junction,CA,87,2022-04-25,70,60.7522,-137.5108,43.09,2.51
Mabaruma,GY,100,2022-04-25,92,8.2,-59.7833,75.11,3.02
Ambon City,ID,40,2022-04-25,59,-3.6954,128.1814,93.34,4.61
Honiara,SB,29,2022-04-25,63,-9.4333,159.95,87.53,5.39
Shetpe,KZ,100,2022-04-25,37,44.1667,52.1167,59.16,8.05
Hīt,IQ,7,2022-04-25,48,33.6416,42.8251,64.62,8.66
Carutapera,BR,1,2022-04-25,92,-1.195,-46.02,75.15,5.91
Ketchikan,US,100,2022-04-25,87,55.3422,-131.6461,46.38,5.75
Antofagasta,CL,44,2022-04-25,89,-23.65,-70.4,61.88,4.81
Viedma,AR,95,2022-04-25,45,-40.8135,-62.9967,67.93,24.49
Petrovsk,RU,99,2022-04-25,78,52.3064,45.3917,50.2,6.2
Waipawa,NZ,85,2022-04-25,62,-41.4122,175.5153,57.07,2.64
Romans-sur-Isère,FR,99,2022-04-25,88,45.0464,5.0562,56.93,2.51
Arlit,NE,0,2022-04-25,11,18.7369,7.3853,83.25,5.88
Berezovyy,RU,91,2022-04-25,87,51.6667,135.7,31.6,3.38
Toma,BF,43,2022-04-25,13,12.7667,-2.8833,86.38,8.81
Verkhnyaya Inta,RU,80,2022-04-25,97,65.9811,60.3094,20.34,6.35
Ostrovnoy,RU,100,2022-04-25,93,68.0531,39.5131,33.35,9.8
Kampot,KH,69,2022-04-25,74,10.6167,104.1833,82.45,4.03
Nanfeng,CN,92,2022-04-25,85,23.7434,111.7959,79.29,2.51
Morant Bay,JM,70,2022-04-25,79,17.8815,-76.4093,73.71,11.23
Sarangani,PH,69,2022-04-25,76,5.4033,125.4636,83.37,15.64
Sisimiut,GL,72,2022-04-25,92,66.9395,-53.6735,24.08,1.63
Punta de Bombón,PE,77,2022-04-25,84,-17.1717,-71.7931,67.53,5.37
Bulawayo,ZW,7,2022-04-25,81,-20.15,28.5833,61.02,2.84
Linhares,BR,9,2022-04-25,89,-19.3911,-40.0722,75.09,6.98
Amapá,BR,25,2022-04-25,98,1.0,-52.0,72.81,2.06
Marsh Harbour,BS,4,2022-04-25,71,26.5412,-77.0636,74.3,19.15
Toro,CO,76,2022-04-25,95,4.6117,-76.0814,74.08,3.2
Ternate,ID,64,2022-04-25,71,0.8,127.4,83.79,1.32
Oranjestad,AW,20,2022-04-25,74,12.524,-70.027,80.55,17.27
Eganville,CA,100,2022-04-25,77,45.5334,-77.0994,45.99,8.28
Menongue,AO,65,2022-04-25,69,-14.6585,17.691,57.85,1.34
Boa Esperança,BR,6,2022-04-25,77,-21.09,-45.5658,65.34,4.9
General Roca,AR,22,2022-04-25,40,-39.0333,-67.5833,59.63,27.4
Maragogi,BR,23,2022-04-25,83,-9.0122,-35.2225,78.3,9.91
Isangel,VU,100,2022-04-25,67,-19.55,169.2667,79.45,18.43
Kahului,US,75,2022-04-25,66,20.8947,-156.47,82.42,21.85
Verkhoyansk,RU,100,2022-04-25,84,67.5447,133.385,20.3,3.27
Tilichiki,RU,100,2022-04-25,85,60.4667,166.1,27.46,17.67
Neyshabur,IR,100,2022-04-25,52,36.2133,58.7958,63.27,3.71
Însurăţei,RO,100,2022-04-25,60,44.9167,27.6,56.82,9.44
Brae,GB,25,2022-04-25,87,60.3964,-1.353,45.14,18.81
Isernia,IT,87,2022-04-25,95,41.6002,14.2382,49.89,5.77
Narsaq,GL,100,2022-04-25,89,60.9167,-46.05,41.22,2.68
Margate,GB,0,2022-04-25,84,51.3813,1.3862,48.31,7.0
Stabat,ID,95,2022-04-25,92,3.761,98.4513,77.2,2.26
Smyshlyayevka,RU,100,2022-04-25,73,53.2391,50.3907,45.64,2.51
Mina,MX,96,2022-04-25,47,26.0011,-100.5299,85.41,6.11
Sete Lagoas,BR,100,2022-04-25,64,-19.4658,-44.2467,76.08,7.78
Smithers,CA,100,2022-04-25,47,54.7804,-127.1743,53.92,6.91
Raudeberg,NO,90,2022-04-25,88,61.9875,5.1352,43.86,20.02
Nishifukuma,JP,48,2022-04-25,72,33.7667,130.4667,78.3,1.66
Mbandaka,CD,100,2022-04-25,86,0.0487,18.2603,72.14,2.57
Mutsu,JP,22,2022-04-25,59,41.2894,141.2169,60.71,4.29
Itoman,JP,40,2022-04-25,87,26.1247,127.6694,81.37,10.36
Krasnovka,RU,6,2022-04-25,88,48.8177,40.0923,50.76,5.88
Taunggyi,MM,4,2022-04-25,47,20.7833,97.0333,75.15,2.08
Mīnāb,IR,6,2022-04-25,59,27.1467,57.0801,79.48,3.11
Namatanai,PG,79,2022-04-25,65,-3.6667,152.4333,85.41,3.29
Fulton,US,0,2022-04-25,61,33.7668,-84.4499,74.52,5.75
Sur,OM,0,2022-04-25,43,22.5667,59.5289,84.25,9.66
Waverly,US,75,2022-04-25,92,42.7392,-84.6208,66.36,12.66
Saint-Joseph,RE,93,2022-04-25,76,-21.3667,55.6167,73.78,13.27
Muyezerskiy,RU,58,2022-04-25,98,63.9333,31.65,24.8,1.36
Hayden,US,0,2022-04-25,33,47.766,-116.7866,64.49,4.61
Green River,US,91,2022-04-25,52,41.5286,-109.4662,45.99,5.01
Santa Cruz de la Sierra,BO,40,2022-04-25,94,-17.8,-63.1667,76.46,9.22
Ekibastuz,KZ,35,2022-04-25,46,51.6667,75.3667,32.83,8.59
Rome,US,0,2022-04-25,42,43.2128,-75.4557,65.82,11.5
Aquin,HT,72,2022-04-25,76,18.2833,-73.4,76.51,3.6
Klaksvík,FO,100,2022-04-25,83,62.2266,-6.589,38.32,16.35
Cayenne,GF,20,2022-04-25,1,4.9333,-52.3333,81.09,3.0
Kenai,US,100,2022-04-25,51,60.5544,-151.2583,53.02,12.66
Oktyabr'skiy,RU,100,2022-04-25,76,54.4815,53.471,49.8,7.11
Vardø,NO,100,2022-04-25,87,70.3705,31.1107,34.88,5.21
Ambulu,ID,39,2022-04-25,80,-8.345,113.6058,80.92,2.1
Wajid,SO,100,2022-04-25,80,3.8093,43.2471,75.42,10.27
Liwale,TZ,100,2022-04-25,99,-9.7667,37.9333,68.58,0.51
San Quintín,MX,0,2022-04-25,50,30.4833,-115.95,69.01,10.16
Bilma,NE,0,2022-04-25,9,18.6853,12.9164,88.52,6.93
Henties Bay,NA,0,2022-04-25,83,-22.116,14.2845,58.89,9.53
Labuhan,ID,41,2022-04-25,81,-6.8844,112.2051,81.36,6.64
Hangu,CN,100,2022-04-25,64,39.2489,117.7892,62.64,6.35
Arcata,US,0,2022-04-25,73,40.8665,-124.0828,66.67,9.22
Bambanglipuro,ID,100,2022-04-25,81,-7.95,110.2833,81.18,1.3
Sorong,ID,61,2022-04-25,76,-0.8833,131.25,82.94,0.6
Banamba,ML,90,2022-04-25,13,13.55,-7.45,87.55,11.9
Tchibanga,GA,100,2022-04-25,98,-2.85,11.0333,71.69,1.9
Radinac,RS,85,2022-04-25,67,44.6267,20.967,53.08,4.79
Yenagoa,NG,100,2022-04-25,91,4.9247,6.2642,74.17,1.52
Vallenar,CL,0,2022-04-25,66,-28.5708,-70.7581,61.7,3.04
Slave Lake,CA,100,2022-04-25,46,55.2834,-114.769,54.21,9.84
Adrar,MR,0,2022-04-25,35,20.5022,-10.0711,72.01,10.04
Galesong,ID,100,2022-04-25,73,-5.3166,119.3661,78.82,7.63
Harindānga,IN,5,2022-04-25,79,22.0383,88.3214,84.24,12.44
Sankheda,IN,0,2022-04-25,30,22.1667,73.5833,76.78,4.07
Necochea,AR,100,2022-04-25,44,-38.5473,-58.7368,68.11,18.59
Arua,UG,100,2022-04-25,89,3.0201,30.9111,64.8,2.95
Ossora,RU,100,2022-04-25,97,59.2353,163.0719,31.14,16.8
Ribeira Grande,PT,16,2022-04-25,75,38.5167,-28.7,58.89,14.09
Onega,RU,19,2022-04-25,89,63.9061,38.1404,24.67,2.62
Moroni,KM,94,2022-04-25,82,-11.7022,43.2551,79.07,5.03
Alto Araguaia,BR,11,2022-04-25,78,-17.3147,-53.2153,71.26,2.08
Aklavik,CA,100,2022-04-25,91,68.2191,-135.0107,33.03,5.75
Zhumadian,CN,100,2022-04-25,98,32.9794,114.0294,66.47,12.3
Arrondissement de Saint-Denis,FR,0,2022-04-25,72,48.9167,2.3333,55.08,9.22
Challapata,BO,5,2022-04-25,24,-18.9,-66.7667,48.09,3.13
Launceston,AU,100,2022-04-25,87,-41.45,147.1667,59.81,0.0
Falam,MM,0,2022-04-25,30,22.9167,93.6833,73.92,2.84
Puerto Baquerizo Moreno,EC,97,2022-04-25,88,-0.9,-89.6,71.74,9.31
Bar Harbor,US,0,2022-04-25,49,44.3876,-68.2039,46.54,5.75
Tumut,AU,75,2022-04-25,48,-35.3,148.2167,67.3,1.92
Evensk,RU,100,2022-04-25,85,61.95,159.2333,28.74,26.33
Turan,VN,20,2022-04-25,74,16.0678,108.2208,82.38,5.75
Pandan,PH,100,2022-04-25,85,14.0453,124.1694,82.89,11.16
Nishihara,JP,75,2022-04-25,86,26.1842,127.7558,80.65,10.36
Osakarovka,KZ,70,2022-04-25,45,50.565,72.5692,28.42,12.35
Fowa,NG,85,2022-04-25,72,8.9167,6.4,77.41,3.56
Ciudad Bolivar,VE,100,2022-04-25,48,8.1222,-63.5497,88.12,12.12
Fairbanks,US,0,2022-04-25,33,64.8378,-147.7164,52.14,6.91
Pankrushikha,RU,13,2022-04-25,51,53.8319,80.3406,34.03,0.76
Lampazos de Naranjo,MX,93,2022-04-25,58,27.0167,-100.5167,80.24,26.42
Sunrise,US,40,2022-04-25,75,26.1577,-80.2861,78.03,16.11
Aden,YE,43,2022-04-25,81,12.7794,45.0367,82.4,17.27
Kirkwood,US,100,2022-04-25,90,38.5834,-90.4068,64.56,13.8
Yumen,CN,17,2022-04-25,50,40.2833,97.2,53.42,17.2
Christchurch,NZ,0,2022-04-25,59,-43.5333,172.6333,69.42,4.61
Pedersore,FI,23,2022-04-25,81,63.65,22.6833,28.0,3.58
Haljala,EE,100,2022-04-25,97,59.4336,26.2614,37.06,10.29
Gravdal,NO,100,2022-04-25,83,68.1214,13.5031,39.94,9.6
Aswān,EG,23,2022-04-25,15,24.0934,32.907,76.95,10.65
Namanga,KE,93,2022-04-25,92,-2.5433,36.7905,63.77,2.28
Birjand,IR,63,2022-04-25,39,32.8663,59.2211,61.52,8.1
Nukus,UZ,0,2022-04-25,81,42.4531,59.6103,49.98,2.3
La Ronge,CA,100,2022-04-25,74,55.1001,-105.2842,32.45,8.14
Qasigiannguit,GL,97,2022-04-25,96,68.8193,-51.1922,26.85,0.81
Bābra,IN,0,2022-04-25,39,21.85,71.3,80.11,14.74
Tutova,RO,100,2022-04-25,79,46.1167,27.55,55.4,8.86
Tomobe,JP,35,2022-04-25,72,36.35,140.3,76.78,4.25
Kupang,ID,100,2022-04-25,64,-10.1667,123.5833,82.6,4.7
Odienné,CI,0,2022-04-25,48,9.51,-7.5692,79.32,1.59
Aksu,CN,100,2022-04-25,23,41.1231,80.2644,67.78,3.31
Redlands,US,0,2022-04-25,13,34.0556,-117.1825,84.16,10.36
Aripuanã,BR,0,2022-04-25,93,-9.1667,-60.6333,74.43,0.74
Izazi,TZ,100,2022-04-25,86,-7.2,35.7333,69.4,2.04
Cockburn Town,TC,99,2022-04-25,72,21.4612,-71.1419,77.56,21.32
Andrychów,PL,37,2022-04-25,86,49.855,19.3383,46.85,4.56
Weihe,CN,98,2022-04-25,51,32.9952,105.3247,62.47,2.62
Taormina,IT,6,2022-04-25,57,37.8536,15.2885,61.79,4.94
Bariloche,AR,100,2022-04-25,80,-41.1456,-71.3082,35.35,16.11
Cam Ranh,VN,20,2022-04-25,74,11.9214,109.1591,84.16,2.3
Severo-Kuril'sk,RU,88,2022-04-25,90,50.6789,156.125,34.0,1.81
Havre-St-Pierre,CA,100,2022-04-25,78,50.2334,-63.5986,37.71,15.21
Loíza,PR,20,2022-04-25,73,18.4313,-65.8802,78.8,13.8
Naryan-Mar,RU,100,2022-04-25,97,67.6713,53.087,25.48,8.59
Anadyr,RU,0,2022-04-25,64,64.75,177.4833,30.7,8.95
Buin,CL,100,2022-04-25,78,-33.7333,-70.75,63.73,1.7
Tam Ky,VN,5,2022-04-25,77,15.5667,108.4833,82.08,1.97
Laem Sing,TH,100,2022-04-25,100,12.4816,102.0738,88.02,3.89
Muroto-misakicho,JP,100,2022-04-25,87,33.2833,134.15,66.49,4.07
Shakawe,BW,55,2022-04-25,46,-18.3667,21.85,64.24,3.2
Carauari,BR,69,2022-04-25,97,-4.8828,-66.8958,74.46,2.82
Tupik,RU,99,2022-04-25,51,54.4253,119.9327,35.49,5.66
Susanville,US,0,2022-04-25,26,40.4163,-120.653,64.9,4.61
Jiuquan,CN,0,2022-04-25,47,39.7432,98.5174,54.59,7.61
Sukhobuzimskoye,RU,24,2022-04-25,64,56.5,93.2728,31.84,9.89
Jega,NG,88,2022-04-25,42,12.2175,4.3792,88.43,13.51
Ardakān,IR,23,2022-04-25,17,32.31,54.0175,70.3,3.11
Arāmbāgh,IN,3,2022-04-25,73,22.8833,87.7833,83.93,8.41
Tateyama,JP,11,2022-04-25,75,34.9833,139.8667,66.87,1.54
Pacific Grove,US,0,2022-04-25,74,36.6177,-121.9166,68.11,5.99
Nome,US,100,2022-04-25,87,64.5011,-165.4064,38.16,0.0
La Paz,BO,75,2022-04-25,93,-16.5,-68.15,44.58,4.61
Shubarkuduk,KZ,76,2022-04-25,53,49.1447,56.4872,42.62,5.21
San Alberto,CO,100,2022-04-25,92,7.7611,-73.3922,76.3,4.34
Miramar,US,0,2022-04-25,73,25.9873,-80.2323,78.03,16.11
Pochutla,MX,41,2022-04-25,63,15.7432,-96.4661,82.81,5.35
Maceió,BR,75,2022-04-25,83,-9.6658,-35.7353,78.24,3.44
Tazovsky,RU,62,2022-04-25,99,67.4667,78.7,-4.65,4.79
Kjøpsvik,NO,100,2022-04-25,99,68.097,16.3742,41.16,4.81
Ambilobe,MG,3,2022-04-25,84,-13.2,49.05,71.76,4.61
Rio de Janeiro,BR,20,2022-04-25,71,-22.9028,-43.2075,77.0,10.36
Krutinka,RU,100,2022-04-25,56,56.0055,71.5113,36.5,10.4
Copala,MX,0,2022-04-25,65,16.65,-98.9833,81.0,6.17
Kumul,CN,20,2022-04-25,35,42.8,93.45,60.64,19.24
Bonthe,SL,100,2022-04-25,80,7.5264,-12.505,76.14,10.98
Ulaangom,MN,0,2022-04-25,32,49.9811,92.0667,32.31,4.54
Stykkisholmur,IS,72,2022-04-25,76,65.0757,-22.7297,42.76,4.56
Carlos Chagas,BR,88,2022-04-25,93,-17.7031,-40.7664,74.26,9.6
Gijang,KR,100,2022-04-25,66,35.2442,129.2139,69.66,5.53
Batagay-Alyta,RU,100,2022-04-25,82,67.8006,130.4114,14.2,1.07
Kwang Binh,VN,7,2022-04-25,72,17.4833,106.6,84.09,5.35
São Sebastião,BR,79,2022-04-25,89,-23.76,-45.4097,72.5,7.81
Caarapó,BR,3,2022-04-25,71,-22.6342,-54.8222,73.0,6.62
Rundu,NA,0,2022-04-25,47,-17.9333,19.7667,60.91,3.47
